iter	Passed	Remaining
0	104	104810
1	107	53597
2	109	36513
3	111	27749
4	113	22655
5	117	19479
6	120	17087
7	122	15205
8	124	13744
9	126	12552
10	128	11597
11	131	10806
12	134	10182
13	137	9658
14	139	9172
15	141	8699
16	142	8247
17	145	7937
18	147	7618
19	149	7321
20	151	7054
21	153	6809
22	155	6589
23	156	6359
24	157	6143
25	159	5963
26	161	5811
27	163	5663
28	165	5530
29	167	5409
30	168	5274
31	171	5176
32	173	5075
33	176	5001
34	178	4915
35	180	4821
36	181	4730
37	183	4643
38	185	4564
39	186	4468
40	188	4407
41	190	4340
42	192	4273
43	193	4207
44	195	4147
45	196	4081
46	198	4024
47	200	3970
48	202	3920
49	204	3884
50	206	3846
51	208	3799
52	210	3759
53	212	3729
54	215	3699
55	222	3749
56	224	3718
57	226	3680
58	228	3644
59	230	3612
60	232	3584
61	235	3566
62	238	3540
63	240	3510
64	241	3479
65	244	3457
66	247	3440
67	251	3446
68	253	3426
69	256	3405
70	258	3381
71	260	3358
72	262	3335
73	265	3322
74	267	3293
75	270	3289
76	301	3617
77	303	3591
78	306	3567
79	307	3541
80	309	3511
81	311	3483
82	313	3464
83	315	3439
84	317	3414
85	318	3388
86	320	3362
87	322	3338
88	323	3314
89	325	3290
90	327	3270
91	329	3252
92	331	3232
93	332	3205
94	334	3183
95	335	3163
96	337	3143
97	339	3123
98	341	3103
99	342	3085
100	344	3067
101	346	3049
102	348	3031
103	349	3014
104	351	2996
105	353	2978
106	354	2962
107	356	2945
108	358	2931
109	360	2918
110	362	2903
111	364	2887
112	365	2871
113	366	2850
114	368	2834
115	369	2819
116	371	2804
117	372	2785
118	375	2776
119	377	2767
120	379	2753
121	380	2739
122	382	2726
123	383	2711
124	385	2698
125	387	2684
126	388	2673
127	390	2663
128	393	2655
129	395	2649
130	398	2640
131	400	2632
132	402	2624
133	405	2618
134	407	2613
135	410	2605
136	412	2596
137	414	2586
138	415	2576
139	417	2565
140	420	2559
141	422	2552
142	424	2545
143	426	2537
144	428	2529
145	431	2522
146	432	2512
147	434	2502
148	436	2493
149	438	2487
150	440	2478
151	442	2468
152	444	2458
153	445	2449
154	447	2440
155	449	2430
156	451	2424
157	453	2418
158	455	2411
159	457	2403
160	459	2394
161	461	2385
162	462	2377
163	464	2368
164	467	2363
165	468	2355
166	470	2347
167	472	2339
168	473	2330
169	475	2322
170	477	2314
171	479	2306
172	481	2300
173	483	2294
174	485	2286
175	486	2278
176	488	2270
177	489	2262
178	491	2254
